pixel	charge_cc_ff	charge_averagewf_ff
0	0.9848175	1.08492
1	0.95448524	1.016939
2	0.94188327	0.972493
3	0.98795843	1.0368176
4	0.8928162	0.92253834
5	0.96814567	1.0280198
6	1.0528381	1.1062759
7	0.92573375	0.95633477
8	0.9982725	1.0811468
9	0.96493286	1.0364965
10	0.9299643	0.9434236
11	0.97786695	1.0360935
12	0.9684415	0.9672811
13	0.9996099	1.0425764
14	0.9474652	0.98378253
15	0.9036722	0.93856776
16	0.9221227	0.97252357
17	0.9554921	0.94646907
18	0.96927315	1.0023289
19	1.1134052	1.1883031
20	0.937905	0.9743373
21	0.97270304	0.979555
22	0.9646687	0.9983459
23	0.95632654	0.98191094
24	0.8355793	0.8622153
25	2.5967958	2.9976108
26	0.86222434	0.87588644
27	0.74728596	0.74114585
28	1.0975095	1.1547186
29	0.9056424	0.9088187
30	0.9406344	0.9557123
31	0.8096756	0.8547711
32	0.993227	1.0838952
33	1.0068655	1.0913728
34	0.9829633	1.0261387
35	0.9327247	0.91114223
36	0.9514089	1.0025299
37	0.97596353	1.0058686
38	1.0331713	1.0820576
39	0.9782648	1.0028617
40	0.93647546	0.9287647
41	0.9701478	1.0060369
42	0.9837997	0.9971471
43	0.9954211	1.0392157
44	1.0534668	1.1464944
45	1.0443946	1.0891339
46	0.93633676	0.964655
47	0.89595985	0.91543597
48	0.9046574	0.9066665
49	0.8939715	0.88202876
50	0.9290768	0.9255901
51	0.94209075	0.9542276
52	0.94706106	0.9279886
53	0.8958816	0.84678435
54	1.0138245	1.0397791
55	0.9272009	0.9265293
56	0.77527994	0.7383471
57	0.70487964	0.6629048
58	1.0	1.0
59	1.0380234	1.0425084
60	0.9505001	0.92913014
61	1.0227153	0.9855936
62	0.9522407	0.9015554
63	0.9334132	0.93206614
64	1.0314076	1.0990989
65	1.068133	1.1182845
66	0.91060925	0.89330727
67	0.96031433	0.9672496
68	1.0085622	1.0500212
69	1.0486251	1.1106881
70	1.0481765	1.0791128
71	1.0519435	1.057335
72	1.0526147	1.0929307
73	1.0813539	1.1230729
74	1.0156025	1.0012244
75	1.0483809	1.0842568
76	0.9966708	0.9817445
77	1.0681129	1.1064351
78	1.0484554	1.0945671
79	0.96421295	0.99529743
80	1.023434	1.091284
81	1.0196421	1.0329685
82	1.0458524	1.1044903
83	1.0868336	1.1401116
84	1.0432166	1.087932
85	0.953754	0.94247085
86	0.9961708	1.0299791
87	0.9986093	1.0214465
88	0.997764	1.0491774
89	1.0196133	1.0639981
90	0.9882079	1.0445901
91	0.92436624	0.9456535
92	0.99784	1.034414
93	0.9561798	0.9704181
94	0.93658066	0.94106996
95	0.9210861	0.97718215
96	1.0	1.0
97	1.0	1.0
98	1.0	1.0
99	1.0	1.0
100	0.6156427	0.5967593
101	1.0	1.0
102	0.83337283	0.83176744
103	0.869874	0.85307586
104	1.0932914	1.061105
105	0.9448868	0.9313391
106	0.9490302	0.9164444
107	1.0092509	0.98892075
108	1.1001899	1.151066
109	0.9373343	0.93568283
110	0.98210114	0.9809027
111	0.8928811	0.85736793
112	1.0385436	1.0280722
113	1.042372	1.0373687
114	1.0093746	1.0114713
115	1.0179574	1.0447857
116	0.93346834	0.9036871
117	0.9903969	0.9356218
118	0.9390263	0.94149345
119	1.0226561	0.99531746
120	1.0243689	1.0076983
121	1.0112273	0.94714665
122	1.0710472	1.0504954
123	1.0241519	1.0059938
124	1.0124921	0.9646473
125	1.0156721	0.95270425
126	0.9753427	0.9252158
127	0.94884855	0.9200143
128	0.9996947	1.1060178
129	1.0218488	1.0737029
130	1.0090553	1.0035
131	1.02558	1.0600107
132	1.0450398	1.105075
133	1.0331466	1.1050818
134	1.0725427	1.1317434
135	1.0413284	1.0809735
136	1.0272963	1.1088424
137	0.97602534	1.0641292
138	0.94706005	0.9613686
139	1.0277133	1.1215591
140	0.95807445	0.9744598
141	0.9652974	1.0156454
142	0.9723163	1.0487347
143	0.954823	1.0340711
144	0.9838494	1.0441585
145	0.96082383	0.9632489
146	1.0168102	1.0858859
147	1.0519158	1.1188108
148	1.0236533	1.0685488
149	0.98307127	0.974829
150	1.1074828	1.1519946
151	1.0015637	1.0235698
152	0.9598557	0.9953444
153	1.0195464	1.0556785
154	1.0519685	1.1337966
155	1.0011271	1.0546559
156	1.0761205	1.0921191
157	1.0025438	1.0422997
158	1.002425	1.0112474
159	1.0414371	1.1270025
160	0.9990274	1.0872746
161	1.0454336	1.1619931
162	1.0383692	1.0974696
163	1.0339799	1.0508755
164	1.0064431	1.0393958
165	1.0497605	1.0911348
166	1.0278597	1.0656972
167	0.9622934	0.97233987
168	0.9885645	0.9835669
169	1.0047505	1.0387889
170	0.9924725	1.0027128
171	0.9865165	1.0294785
172	1.0572052	1.1842678
173	0.9962402	1.042711
174	0.9563554	0.9967157
175	0.9411539	0.9538362
176	0.94874245	0.92698723
177	1.0422632	1.0232766
178	0.9852765	1.0044233
179	1.0502158	1.086416
180	1.0206504	1.0058239
181	0.95441335	0.91383016
182	1.0212902	1.0436457
183	1.0825064	1.0751733
184	0.91613704	0.89789945
185	0.89686364	0.841084
186	1.3264464	1.3403782
187	0.98951423	0.9613906
188	0.967256	0.9578992
189	1.0162563	0.97845477
190	0.97635245	0.9361451
191	1.0285504	1.008076
192	1.0454237	1.1747806
193	1.0186428	1.0993606
194	0.95099545	0.979251
195	1.0234452	1.1060834
196	1.0115718	1.0911931
197	1.0435923	1.1367519
198	1.0229414	1.1014867
199	1.001509	1.0602181
200	0.9818259	1.067543
201	1.0287235	1.1340555
202	0.95739776	0.99506325
203	0.9860885	1.060561
204	0.9764672	0.9908322
205	0.9617693	1.0287341
206	0.96410775	1.0532569
207	0.975037	1.0494535
208	0.99544215	1.0664988
209	1.0134457	1.0684062
210	1.0340374	1.1535758
211	1.054141	1.144854
212	1.0287278	1.0980095
213	1.0069674	1.041613
214	1.023388	1.0791571
215	1.0072243	1.0933053
216	0.98580015	1.0432142
217	0.9944186	1.0860771
218	0.99057007	1.0627413
219	0.98545384	1.033028
220	1.0150148	1.0905539
221	1.0231688	1.0903399
222	0.9971791	1.0514679
223	0.9844565	1.0748297
224	0.95916384	1.0471483
225	0.9821217	1.0862125
226	0.97590244	1.0472554
227	0.9483998	0.97521263
228	0.9531038	1.0041298
229	0.94789773	0.9967375
